id,vendor_name,account_number,gst_number,address,email,phone,,,company_name,contact_person,pan_number,city,state,pincode,country,alternate_phone,bank_name,bank_account_number,ifsc_code,branch_name,vendor_type,payment_terms,credit_limit,is_active,notes
11,Seafarers Certifications and Services,NULL,NULL,"DBS Business Center, Bldg. No.213, Raheja Chambers, Nariman Point",info@scsmaritime.com,+507 6110 9062,,,JOSE,Jose,NULL,Mumbai,Maharashtra,400021,India,+507 6636 6505,NULL,4.09001E+11,NULL,NULL,CERTIFICATION_SERVICES,NULL,0,TRUE,"Panama Office: Centennial Building, Office 706B - Panama City"
12,RS Enterprises,NULL,NULL,Belapur,kscservices2021@gmail.com,NULL,,,KSC,KSC Services,NULL,Navi Mumbai,Maharashtra,400059,India,NULL,NULL,1.27105E+11,NULL,NULL,SERVICE_PROVIDER,NULL,0,TRUE,General Services
13,Globus Marine Services,NULL,NULL,"Office No.-121, NBC Complex, Sector 11, Above Sarja Hotel, CBD Belapur",allflagdoc@gmail.com,+91 7400475444,,,NISHU,Nishu,NULL,Navi Mumbai,Maharashtra,400614,India,8169880878,DFC FIRST BANK,10082054955,NULL,NULL,MARINE_SERVICES,NULL,0,TRUE,Flag Documentation Services
14,Shri Mahavir Maritime Academy,NULL,NULL,"Plot No: 30/28, Knowledge Park III",documentpanama@gmail.com,9.19355E+11,,,NOIDA,Academy Admin,NULL,Greater Noida,Uttar Pradesh,201308,India,9355000147,NULL,5.02001E+13,NULL,NULL,TRAINING_INSTITUTE,NULL,0,TRUE,Latin Indo Marine Registry
15,Palkan Marine Services Pvt. Ltd.,NULL,NULL,"504, 5th Floor, Pujit Plaza, Sector-11, Plot No-67, CBD Belapur",palkanmarine@gmail.com,022 4974 4370,,,PALKAN MARINE,Marine Manager,NULL,Navi Mumbai,Maharashtra,400614,India,9987831290,NULL,87301002795,NULL,NULL,MARINE_SERVICES,NULL,0,TRUE,Marine Services Private Limited
16,Prudence Marine Services Pvt. Ltd.,NULL,NULL,"203, Town Centre 1, Andheri-Kurla Rd, Marol, Andheri East",certifications@prudencemarine.in,91 22 4143300,,,Prudence,Certifications Team,NULL,Mumbai,Maharashtra,400059,India,+91 8779108246,AXIS BANK LTD,9.1802E+14,NULL,NULL,MARINE_SERVICES,NULL,0,TRUE,Marine Documentation & Certifications
17,Shri Swami Samarth Clinic,NULL,NULL,"Balaji Bhavan, Belapur",jadhav.sharwari@rediffmail.com,90820 84209,,,SAMARTH CLINIC,Dr Birmode,NULL,Navi Mumbai,Maharashtra,NULL,India,NULL,IDFC FIRST BANK,10072913773,NULL,NULL,MEDICAL_SERVICES,NULL,0,TRUE,STCW Medical Services
18,Seafarers Training Center,NULL,NULL,"Ancon, Albrook, Street Diego Dominguez, P.H. Albrook Office Center",seafarertrainingcenter@gmail.com,(507) 375-0278,,,STC,Training Coordinator,NULL,Panama City,Panama,NULL,Panama,383-5980,NULL,NULL,NULL,NULL,TRAINING_INSTITUTE,NULL,0,TRUE,Panama Training Center
19,Sun Marine Academy,NULL,NULL,"Office No 104, Foundation Tower, First Floor Plot No 20, Opposite PNB Bank Sector 11, Belapur",infosunvalue@gmail.com,99679 66841,,,SUN MARINE,Mukesh Singh,NULL,Navi Mumbai,Maharashtra,400614,India,NULL,NULL,NULL,NULL,NULL,TRAINING_INSTITUTE,NULL,0,TRUE,GPay: 99679 66841
20,T S Rahaman,NULL,NULL,"S.M.Y Seaman Welfare Foundation, Nhava Campus, Panvel-Taluka",v.kamath@tsrahaman.org,022 27212 816,,,TS RAHEMAN,V. Kamath,NULL,Panvel,Maharashtra,410206,India,+91 9819064600,AXIS BANK LTD,9.1801E+14,NULL,NULL,WELFARE_FOUNDATION,NULL,0,TRUE,Seaman Welfare Foundation
21,Globus Marine Services,NULL,NULL,"Office No.-121, NBC Complex, Sector 11, Above Sarja Hotel, CBD Belapur",allflagdoc@gmail.com,+91 7400475444,,,YOGESH RAI,Yogesh Rai,NULL,Navi Mumbai,Maharashtra,400614,India,8169880878,NULL,10098469167,NULL,NULL,MARINE_SERVICES,NULL,0,TRUE,Flag Documentation Services
